Location,run,Name,fule,Transmission,Mileage,Engine,Power,Price
Mumbai,72000,Maruti Wagon R LXI CNG,CNG,Manual,26.6,998.0,58.16,1.75
Pune,41000,Hyundai Creta 1.6 CRDi SX Option,Diesel,Manual,19.67,1582.0,126.2,12.5
Chennai,46000,Honda Jazz V,Petrol,Manual,18.2,1199.0,88.7,4.5
Chennai,87000,Maruti Ertiga VDI,Diesel,Manual,20.77,1248.0,88.76,6.0
Coimbatore,40670,Audi A4 New 2.0 TDI Multitronic,Diesel,Automatic,15.2,1968.0,140.8,17.74
Hyderabad,75000,Hyundai EON LPG Era Plus Option,LPG,Manual,21.1,814.0,55.2,2.35
Jaipur,86999,Nissan Micra Diesel XV,Diesel,Manual,23.08,1461.0,63.1,3.5
Mumbai,36000,Toyota Innova Crysta 2.8 GX AT 8S,Diesel,Automatic,11.36,2755.0,171.5,17.5
Pune,64430,Volkswagen Vento Diesel Comfortline,Diesel,Manual,20.54,1598.0,103.6,5.2
Chennai,65932,Tata Indica Vista Quadrajet LS,Diesel,Manual,22.3,1248.0,74.0,1.95
Kochi,25692,Maruti Ciaz Zeta,Petrol,Manual,21.56,1462.0,103.25,9.95
Kolkata,60000,Honda City 1.5 V AT Sunroof,Petrol,Automatic,16.8,1497.0,116.3,4.49
Jaipur,64424,Maruti Swift VDI BSIV,Diesel,Manual,25.2,1248.0,74.0,5.6
Delhi,72000,Land Rover Range Rover 2.2L Pure,Diesel,Automatic,12.7,2179.0,187.7,27.0
Pune,85000,Land Rover Freelander 2 TD4 SE,Diesel,Automatic,0.0,2179.0,115.0,17.5
Delhi,110000,Mitsubishi Pajero Sport 4X4,Diesel,Manual,13.5,2477.0,175.56,15.0
Kochi,58950,Honda Amaze S i-Dtech,Diesel,Manual,25.8,1498.0,98.6,5.4
Jaipur,25000,Maruti Swift DDiS VDI,Diesel,Manual,28.4,1248.0,74.0,5.99
Kochi,77469,Renault Duster 85PS Diesel RxL Plus,Diesel,Manual,20.45,1461.0,83.8,6.34
Bangalore,78500,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Diesel,Automatic,14.84,2143.0,167.62,28.0
Kochi,32982,BMW 3 Series 320d,Diesel,Automatic,22.69,1995.0,190.0,18.55
