Year,Location,Name,distance,fule,Transmission,Owner_Type,Mileage,Engine,price,Price
2010,Mumbai,Maruti Wagon R LXI CNG,72000,CNG,Manual,First,26.6,998.0,,1.75
2015,Pune,Hyundai Creta 1.6 CRDi SX Option,41000,Diesel,Manual,First,19.67,1582.0,,12.5
2011,Chennai,Honda Jazz V,46000,Petrol,Manual,First,18.2,1199.0,8.61 Lakh,4.5
2012,Chennai,Maruti Ertiga VDI,87000,Diesel,Manual,First,20.77,1248.0,,6.0
2013,Coimbatore,Audi A4 New 2.0 TDI Multitronic,40670,Diesel,Automatic,Second,15.2,1968.0,,17.74
2012,Hyderabad,Hyundai EON LPG Era Plus Option,75000,LPG,Manual,First,21.1,814.0,,2.35
2013,Jaipur,Nissan Micra Diesel XV,86999,Diesel,Manual,First,23.08,1461.0,,3.5
2016,Mumbai,Toyota Innova Crysta 2.8 GX AT 8S,36000,Diesel,Automatic,First,11.36,2755.0,21 Lakh,17.5
2013,Pune,Volkswagen Vento Diesel Comfortline,64430,Diesel,Manual,First,20.54,1598.0,,5.2
2012,Chennai,Tata Indica Vista Quadrajet LS,65932,Diesel,Manual,Second,22.3,1248.0,,1.95
2018,Kochi,Maruti Ciaz Zeta,25692,Petrol,Manual,First,21.56,1462.0,10.65 Lakh,9.95
2012,Kolkata,Honda City 1.5 V AT Sunroof,60000,Petrol,Automatic,First,16.8,1497.0,,4.49
2015,Jaipur,Maruti Swift VDI BSIV,64424,Diesel,Manual,First,25.2,1248.0,,5.6
2014,Delhi,Land Rover Range Rover 2.2L Pure,72000,Diesel,Automatic,First,12.7,2179.0,,27.0
2012,Pune,Land Rover Freelander 2 TD4 SE,85000,Diesel,Automatic,Second,0.0,2179.0,,17.5
2014,Delhi,Mitsubishi Pajero Sport 4X4,110000,Diesel,Manual,First,13.5,2477.0,32.01 Lakh,15.0
2016,Kochi,Honda Amaze S i-Dtech,58950,Diesel,Manual,First,25.8,1498.0,,5.4
2017,Jaipur,Maruti Swift DDiS VDI,25000,Diesel,Manual,First,28.4,1248.0,,5.99
2014,Kochi,Renault Duster 85PS Diesel RxL Plus,77469,Diesel,Manual,First,20.45,1461.0,,6.34
2014,Bangalore,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,78500,Diesel,Automatic,First,14.84,2143.0,,28.0
2014,Kochi,BMW 3 Series 320d,32982,Diesel,Automatic,First,22.69,1995.0,47.87 Lakh,18.55
2015,Bangalore,Maruti S Cross DDiS 200 Alpha,55392,Diesel,Manual,Second,23.65,1248.0,,8.25
2015,Mumbai,Audi A6 2011-2015 35 TFSI Technology,55985,Petrol,Automatic,First,13.53,1984.0,,23.5
2010,Kolkata,Hyundai i20 1.2 Magna,45807,Petrol,Manual,First,18.5,1197.0,,1.87
2010,Kolkata,Volkswagen Vento Petrol Highline AT,33000,Petrol,Automatic,First,14.4,1598.0,,2.85
2012,Mumbai,Honda City Corporate Edition,51920,Petrol,Manual,First,16.8,1497.0,,4.25
2012,Hyderabad,Nissan Micra Diesel XV,54000,Diesel,Manual,First,23.08,1461.0,,4.25
2013,Hyderabad,Maruti Alto K10 2010-2014 VXI,54000,Petrol,Manual,Second,20.92,998.0,,2.75
2018,Kochi,Honda WRV i-VTEC VX,37430,Petrol,Manual,First,17.5,1199.0,10.57 Lakh,9.9
2007,Mumbai,Toyota Innova 2.5 V Diesel 7-seater,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,,4.0
2013,Bangalore,Renault Duster 110PS Diesel RxZ Pack,62000,Diesel,Manual,First,19.01,1461.0,,7.75
2012,Delhi,Toyota Corolla Altis G,87615,Petrol,Manual,First,14.53,1798.0,,6.75
2013,Bangalore,Mahindra Ssangyong Rexton RX7,72000,Diesel,Automatic,Second,11.18,2696.0,,12.5
2010,Kolkata,Audi A6 2.7 TDI,35000,Diesel,Automatic,First,12.4,2698.0,,11.5
2014,Coimbatore,Volkswagen Vento 1.6 Highline,55431,Petrol,Manual,Second,16.09,1598.0,12.33 Lakh,6.98
2009,Jaipur,Maruti Wagon R LXI BSIII,83816,Petrol,Manual,Second,14.0,1061.0,,1.85
2018,Kochi,Maruti Vitara Brezza ZDi Plus,50075,Diesel,Manual,First,24.3,1248.0,11.12 Lakh,8.63
2017,Delhi,Mahindra KUV 100 mFALCON G80 K6 5str AW,52000,Petrol,Manual,First,18.15,1198.0,,4.85
2013,Pune,Mercedes-Benz M-Class ML 350 CDI,85000,Diesel,Automatic,First,11.74,2987.0,,28.0
2013,Chennai,Volkswagen Polo Diesel Trendline 1.2L,62000,Diesel,Manual,First,22.07,1199.0,,5.0
2008,Delhi,Maruti Alto LXi,90000,Petrol,Manual,Second,19.7,796.0,,1.25
2014,Kochi,Tata Nano LX SE,19698,Petrol,Manual,First,25.4,624.0,,1.53
2017,Coimbatore,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,22033,Diesel,Manual,First,25.32,1198.0,,5.58
2014,Kochi,Hyundai i20 Magna Optional 1.2,35487,Petrol,Manual,First,18.5,1197.0,,4.74
2014,Bangalore,Hyundai Elantra 2.0 SX Option AT,46374,Petrol,Automatic,First,14.62,1999.0,23.64 Lakh,8.85
2016,Mumbai,Toyota Corolla Altis G AT,52001,Petrol,Automatic,First,14.28,1798.0,,10.11
2008,Ahmedabad,Hyundai Elantra CRDi,58005,Diesel,Manual,Second,14.9,1991.0,,4.25
2012,Bangalore,Toyota Innova Crysta 2.7 GX MT,70704,Petrol,Manual,First,11.25,2694.0,18.64 Lakh,10.95
2014,Jaipur,Hyundai Xcent 1.1 CRDi S,75000,Diesel,Manual,First,24.4,1120.0,,3.85
2012,Jaipur,Mahindra Thar CRDe AC,75800,Diesel,Manual,Second,16.55,2498.0,,5.5
2015,Kochi,Audi A4 2.0 TDI 177 Bhp Premium Plus,13648,Diesel,Automatic,First,17.11,1968.0,,21.43
2014,Delhi,Maruti Swift LDI,52000,Diesel,Manual,First,22.9,1248.0,,4.25
2014,Kolkata,Maruti Swift Ldi BSIV,53000,Diesel,Manual,First,17.8,1248.0,,3.3
2013,Delhi,Maruti Swift VDI,65650,Diesel,Manual,First,28.4,1248.0,,3.85
2015,Chennai,Hyundai Grand i10 Sportz,54000,Petrol,Manual,Third,18.9,1197.0,,3.6
2015,Kolkata,Volkswagen Vento 2013-2015 1.6 Comfortline,39000,Petrol,Manual,First,15.04,1598.0,,3.99
2017,Kochi,Renault KWID RXT,16542,Petrol,Manual,First,25.17,799.0,,3.3
2010,Kolkata,Hyundai i10 Asta,32000,Petrol,Manual,First,20.36,1197.0,,2.07
2010,Hyderabad,Nissan X-Trail SLX AT,121812,Diesel,Automatic,First,13.29,1995.0,,7.75
2010,Hyderabad,Maruti Zen Estilo VXI BSIII,39300,Petrol,Manual,First,18.2,998.0,,2.25
2017,Mumbai,Toyota Innova Crysta 2.4 GX MT 8S,22000,Diesel,Manual,First,13.68,2393.0,19.34 Lakh,16.5
2010,Bangalore,Ford Figo Diesel Titanium,72000,Diesel,Manual,First,20.0,1399.0,,2.75
2015,Delhi,Mercedes-Benz New C-Class C 200 CGI Avantgarde,58000,Petrol,Automatic,First,11.74,1796.0,,26.7
2011,Pune,Mercedes-Benz New C-Class 200 CDI Classic,65000,Diesel,Manual,Second,15.8,2148.0,,10.0
2016,Chennai,Tata Indica V2 eLS,178000,Diesel,Manual,First,25.0,1396.0,,2.5
